 format: day,hour,forecast,value  location:60_127 Start : 20250701 
 6,2300,+6,27.000000 
 6,2300,+7,27.000000 
 6,2300,+8,25.000000 
 Start : 20250707 
 7,0200,+6,27.000000 
 7,0200,+7,27.000000 
 7,0200,+8,25.000000 
 7,0500,+6,27.000000 
 7,0500,+7,27.000000 
 7,0500,+8,25.000000 
 7,0800,+6,27.000000 
 7,0800,+7,27.000000 
 7,0800,+8,25.000000 
 7,0800,+9,23.000000 
 7,1100,+6,27.000000 
 7,1100,+7,27.000000 
 7,1100,+8,25.000000 
 7,1100,+9,23.000000 
 7,1400,+6,27.000000 
 7,1400,+7,27.000000 
 7,1400,+8,25.000000 
 7,1400,+9,23.000000 
 7,1700,+6,27.000000 
 7,1700,+7,27.000000 
 7,1700,+8,25.000000 
 7,1700,+9,23.000000 
 7,2000,+6,27.000000 
 7,2000,+7,25.000000 
 7,2000,+8,24.000000 
 7,2300,+6,27.000000 
 7,2300,+7,25.000000 
 7,2300,+8,24.000000 
 Start : 20250708 
 8,0200,+6,27.000000 
 8,0200,+7,25.000000 
 8,0200,+8,24.000000 
 8,0500,+6,27.000000 
 8,0500,+7,25.000000 
 8,0500,+8,24.000000 
 8,0800,+6,27.000000 
 8,0800,+7,25.000000 
 8,0800,+8,24.000000 
 8,0800,+9,24.000000 
 8,1100,+6,27.000000 
 8,1100,+7,25.000000 
 8,1100,+8,24.000000 
 8,1100,+9,24.000000 
 8,1400,+6,27.000000 
 8,1400,+7,25.000000 
 8,1400,+8,24.000000 
 8,1400,+9,24.000000 
 8,1700,+6,27.000000 
 8,1700,+7,25.000000 
 8,1700,+8,24.000000 
 8,1700,+9,24.000000 
 8,2000,+6,25.000000 
 8,2000,+7,24.000000 
 8,2000,+8,24.000000 
 8,2300,+6,25.000000 
 8,2300,+7,24.000000 
 8,2300,+8,24.000000 
 Start : 20250709 
 9,0200,+6,25.000000 
 9,0200,+7,24.000000 
 9,0200,+8,24.000000 
 9,0500,+6,25.000000 
 9,0500,+7,24.000000 
 9,0500,+8,24.000000 
 9,0800,+6,25.000000 
 9,0800,+7,24.000000 
 9,0800,+8,24.000000 
 9,0800,+9,25.000000 
 9,1100,+6,25.000000 
 9,1100,+7,24.000000 
 9,1100,+8,24.000000 
 9,1100,+9,25.000000 
 9,1400,+6,25.000000 
 9,1400,+7,24.000000 
 9,1400,+8,24.000000 
 9,1400,+9,25.000000 
 9,1700,+6,25.000000 
 9,1700,+7,24.000000 
 9,1700,+8,24.000000 
 9,1700,+9,25.000000 
 9,2000,+6,25.000000 
 9,2000,+7,24.000000 
 9,2000,+8,25.000000 
 9,2300,+6,25.000000 
 9,2300,+7,24.000000 
 9,2300,+8,25.000000 
 Start : 20250710 
 10,0200,+6,25.000000 
 10,0200,+7,24.000000 
 10,0200,+8,25.000000 
 10,0500,+6,25.000000 
 10,0500,+7,24.000000 
 10,0500,+8,25.000000 
 10,0800,+6,25.000000 
 10,0800,+7,24.000000 
 10,0800,+8,25.000000 
 10,0800,+9,24.000000 
 10,1100,+6,25.000000 
 10,1100,+7,24.000000 
 10,1100,+8,25.000000 
 10,1100,+9,24.000000 
 10,1400,+6,25.000000 
 10,1400,+7,24.000000 
 10,1400,+8,25.000000 
 10,1400,+9,24.000000 
 10,1700,+6,25.000000 
 10,1700,+7,24.000000 
 10,1700,+8,25.000000 
 10,1700,+9,24.000000 
 10,2000,+6,24.000000 
 10,2000,+7,25.000000 
 10,2000,+8,24.000000 
 10,2300,+6,24.000000 
 10,2300,+7,25.000000 
 10,2300,+8,24.000000 
 Start : 20250711 
 11,0200,+6,24.000000 
 11,0200,+7,25.000000 
 11,0200,+8,24.000000 
 11,0500,+6,24.000000 
 11,0500,+7,25.000000 
 11,0500,+8,24.000000 
 11,0800,+6,24.000000 
 11,0800,+7,25.000000 
 11,0800,+8,24.000000 
 11,0800,+9,24.000000 
 11,1100,+6,24.000000 
 11,1100,+7,25.000000 
 11,1100,+8,24.000000 
 11,1100,+9,24.000000 
 11,1400,+6,24.000000 
 11,1400,+7,25.000000 
 11,1400,+8,24.000000 
 11,1400,+9,24.000000 
 11,1700,+6,24.000000 
 11,1700,+7,25.000000 
 11,1700,+8,24.000000 
 11,1700,+9,24.000000 
 11,2000,+6,25.000000 
 11,2000,+7,24.000000 
 11,2000,+8,24.000000 
 11,2300,+6,25.000000 
 11,2300,+7,24.000000 
 11,2300,+8,24.000000 
 Start : 20250712 
 12,0200,+6,25.000000 
 12,0200,+7,24.000000 
 12,0200,+8,24.000000 
 12,0500,+6,25.000000 
 12,0500,+7,24.000000 
 12,0500,+8,24.000000 
 12,0800,+6,25.000000 
 12,0800,+7,24.000000 
 12,0800,+8,24.000000 
 12,0800,+9,23.000000 
 12,1100,+6,25.000000 
 12,1100,+7,24.000000 
 12,1100,+8,24.000000 
 12,1100,+9,23.000000 
 12,1400,+6,25.000000 
 12,1400,+7,24.000000 
 12,1400,+8,24.000000 
 12,1400,+9,23.000000 
 12,1700,+6,25.000000 
 12,1700,+7,24.000000 
 12,1700,+8,24.000000 
 12,1700,+9,23.000000 
 12,2000,+6,24.000000 
 12,2000,+7,24.000000 
 12,2000,+8,24.000000 
 12,2300,+6,24.000000 
 12,2300,+7,24.000000 
 12,2300,+8,24.000000 
 Start : 20250713 
 13,0200,+6,24.000000 
 13,0200,+7,24.000000 
 13,0200,+8,24.000000 
 13,0500,+6,24.000000 
 13,0500,+7,24.000000 
 13,0500,+8,24.000000 
 13,0800,+6,23.000000 
 13,0800,+7,23.000000 
 13,0800,+8,23.000000 
 13,0800,+9,24.000000 
 13,1100,+6,23.000000 
 13,1100,+7,23.000000 
 13,1100,+8,23.000000 
 13,1100,+9,24.000000 
 13,1400,+6,23.000000 
 13,1400,+7,23.000000 
 13,1400,+8,23.000000 
 13,1400,+9,24.000000 
 13,1700,+6,23.000000 
 13,1700,+7,23.000000 
 13,1700,+8,23.000000 
 13,1700,+9,24.000000 
 13,2000,+6,22.000000 
 13,2000,+7,23.000000 
 13,2000,+8,24.000000 
 13,2300,+6,22.000000 
 13,2300,+7,23.000000 
 13,2300,+8,24.000000 
 Start : 20250714 
 14,0200,+6,22.000000 
 14,0200,+7,23.000000 
 14,0200,+8,24.000000 
 14,0500,+6,22.000000 
 14,0500,+7,23.000000 
 14,0500,+8,24.000000 
 14,0800,+6,21.000000 
 14,0800,+7,23.000000 
 14,0800,+8,24.000000 
 14,0800,+9,24.000000 
 14,1100,+6,21.000000 
 14,1100,+7,23.000000 
 14,1100,+8,24.000000 
 14,1100,+9,24.000000 
 14,1400,+6,21.000000 
 14,1400,+7,23.000000 
 14,1400,+8,24.000000 
 14,1400,+9,24.000000 
 14,1700,+6,21.000000 
 14,1700,+7,23.000000 
 14,1700,+8,24.000000 
 14,1700,+9,24.000000 
 14,2000,+6,23.000000 
 14,2000,+7,24.000000 
 14,2000,+8,24.000000 
 14,2300,+6,23.000000 
 14,2300,+7,24.000000 
 14,2300,+8,24.000000 
 Start : 20250715 
 15,0200,+6,23.000000 
 15,0200,+7,24.000000 
 15,0200,+8,24.000000 
 15,0500,+6,23.000000 
 15,0500,+7,24.000000 
 15,0500,+8,24.000000 
 15,0800,+6,23.000000 
 15,0800,+7,24.000000 
 15,0800,+8,24.000000 
 15,0800,+9,24.000000 
 15,1100,+6,23.000000 
 15,1100,+7,24.000000 
 15,1100,+8,24.000000 
 15,1100,+9,24.000000 
 15,1400,+6,23.000000 
 15,1400,+7,24.000000 
 15,1400,+8,24.000000 
 15,1400,+9,24.000000 
 15,1700,+6,23.000000 
 15,1700,+7,24.000000 
 15,1700,+8,24.000000 
 15,1700,+9,24.000000 
 15,2000,+6,24.000000 
 15,2000,+7,24.000000 
 15,2000,+8,24.000000 
 15,2300,+6,24.000000 
 15,2300,+7,24.000000 
 15,2300,+8,24.000000 
 Start : 20250716 
 16,0200,+6,24.000000 
 16,0200,+7,24.000000 
 16,0200,+8,24.000000 
 16,0500,+6,24.000000 
 16,0500,+7,24.000000 
 16,0500,+8,24.000000 
 16,0800,+6,24.000000 
 16,0800,+7,24.000000 
 16,0800,+8,24.000000 
 16,0800,+9,25.000000 
 16,1100,+6,24.000000 
 16,1100,+7,24.000000 
 16,1100,+8,24.000000 
 16,1100,+9,25.000000 
 16,1400,+6,24.000000 
 16,1400,+7,24.000000 
 16,1400,+8,24.000000 
 16,1400,+9,25.000000 
 16,1700,+6,24.000000 
 16,1700,+7,24.000000 
 16,1700,+8,24.000000 
 16,1700,+9,25.000000 
 16,2000,+6,24.000000 
 16,2000,+7,24.000000 
 16,2000,+8,25.000000 
 16,2300,+6,24.000000 
 16,2300,+7,24.000000 
 16,2300,+8,25.000000 
 Start : 20250717 
 17,0200,+6,24.000000 
 17,0200,+7,24.000000 
 17,0200,+8,25.000000 
 17,0500,+6,24.000000 
 17,0500,+7,24.000000 
 17,0500,+8,25.000000 
 17,0800,+6,24.000000 
 17,0800,+7,24.000000 
 17,0800,+8,25.000000 
 17,0800,+9,26.000000 
 17,1100,+6,24.000000 
 17,1100,+7,24.000000 
 17,1100,+8,25.000000 
 17,1100,+9,26.000000 
 17,1400,+6,24.000000 
 17,1400,+7,24.000000 
 17,1400,+8,25.000000 
